Date,Time,Open,High,Low,Close
2021-05-20,22:45:00,1.41893,1.41894,1.41861,1.41861
2021-05-20,23:00:00,1.41865,1.41876,1.41848,1.41863
2021-05-20,23:15:00,1.41866,1.41877,1.41861,1.41868
2021-05-20,23:30:00,1.41868,1.41888,1.41853,1.41854
2021-05-20,23:45:00,1.41856,1.41874,1.41837,1.41846
2021-05-21,00:00:00,1.41848,1.41917,1.41843,1.41908
2021-05-21,00:15:00,1.41910,1.4191,1.41857,1.4189
2021-05-21,00:30:00,1.41890,1.4189,1.41837,1.41846
2021-05-21,00:45:00,1.41847,1.41865,1.41755,1.41801
2021-05-21,01:00:00,1.41806,1.41836,1.4179,1.41822
2021-05-21,01:15:00,1.41820,1.41832,1.4179,1.41811
2021-05-21,01:30:00,1.41813,1.41841,1.41788,1.41809
2021-05-21,01:45:00,1.41807,1.4182,1.41773,1.41774
2021-05-21,02:00:00,1.41778,1.41779,1.41709,1.41709
2021-05-21,02:15:00,1.41710,1.4174,1.41689,1.4173
2021-05-21,02:30:00,1.41730,1.4175,1.41715,1.41737
2021-05-21,02:45:00,1.41733,1.418,1.41731,1.41797
2021-05-21,03:00:00,1.41797,1.41824,1.4176,1.41766
2021-05-21,03:15:00,1.41767,1.41798,1.41759,1.41787
2021-05-21,03:30:00,1.41785,1.41802,1.41768,1.41779
2021-05-21,03:45:00,1.41780,1.4178,1.4175,1.41769
2021-05-21,04:00:00,1.41770,1.41781,1.41751,1.4177
2021-05-21,04:15:00,1.41773,1.41814,1.4176,1.4181
2021-05-21,04:30:00,1.41810,1.4184,1.41805,1.41819
2021-05-21,04:45:00,1.41819,1.41841,1.41806,1.41807
2021-05-21,05:00:00,1.41809,1.4187,1.41809,1.4184
2021-05-21,05:15:00,1.41842,1.41869,1.41831,1.41864
2021-05-21,05:30:00,1.41865,1.41888,1.41823,1.41832
2021-05-21,05:45:00,1.41830,1.41876,1.41826,1.41861
2021-05-21,06:00:00,1.41862,1.41991,1.41841,1.4195
2021-05-21,06:15:00,1.41952,1.42005,1.41877,1.41878
2021-05-21,06:30:00,1.41878,1.4193,1.41749,1.41791
2021-05-21,06:45:00,1.41792,1.41851,1.41776,1.41779
2021-05-21,07:00:00,1.41781,1.41816,1.41728,1.41764
2021-05-21,07:15:00,1.41767,1.41859,1.4174,1.41857
2021-05-21,07:30:00,1.41855,1.41855,1.41678,1.41745
2021-05-21,07:45:00,1.41745,1.41826,1.41709,1.41813
2021-05-21,08:00:00,1.41812,1.41893,1.41808,1.4186
2021-05-21,08:15:00,1.41860,1.41911,1.41849,1.41853
2021-05-21,08:30:00,1.41880,1.41948,1.41802,1.41909
2021-05-21,08:45:00,1.41909,1.4205,1.41893,1.4205
2021-05-21,09:00:00,1.42051,1.42126,1.42041,1.42076
2021-05-21,09:15:00,1.42075,1.42149,1.42053,1.42119
2021-05-21,09:30:00,1.42118,1.42165,1.42096,1.42163
2021-05-21,09:45:00,1.42161,1.42168,1.42127,1.42137
2021-05-21,10:00:00,1.42139,1.42233,1.42117,1.4222
2021-05-21,10:15:00,1.42221,1.42336,1.42187,1.42288
2021-05-21,10:30:00,1.42290,1.42323,1.4223,1.4223
2021-05-21,10:45:00,1.42230,1.42263,1.4215,1.42152
2021-05-21,11:00:00,1.42153,1.42189,1.42086,1.42089
2021-05-21,11:15:00,1.42089,1.42144,1.41999,1.42105
2021-05-21,11:30:00,1.42105,1.42177,1.42087,1.4209
2021-05-21,11:45:00,1.42096,1.42099,1.41866,1.4189
2021-05-21,12:00:00,1.41890,1.41952,1.41852,1.41928
2021-05-21,12:15:00,1.41927,1.41979,1.41914,1.41948
2021-05-21,12:30:00,1.41948,1.4203,1.41937,1.41983
2021-05-21,12:45:00,1.41986,1.42076,1.41975,1.4202
2021-05-21,13:00:00,1.42022,1.42064,1.41917,1.41935
2021-05-21,13:15:00,1.41935,1.41979,1.41887,1.41965
2021-05-21,13:30:00,1.41963,1.41998,1.41905,1.41943
2021-05-21,13:45:00,1.41943,1.41943,1.4165,1.41701
2021-05-21,14:00:00,1.41703,1.41751,1.4165,1.41712
2021-05-21,14:15:00,1.41713,1.41755,1.41659,1.41743
